English Title	Original Title	Year	Duration(min)	Decade	Country	Director	Director's Gender	Writer	Writer's Gender	DP	DP's Gender	Producer	Producer's Gender	Genre	Wikidata ID	IMDb ID
Stella Dallas	Stella Dallas	1937	106	1930s	USA	King Vidor	male	Victor Heerman/ Sarah Y. Mason	male/ female	Rudolph Maté	male	Samuel Goldwyn	male	Drama/ Romance	Q1613737	tt0029608
Snow White and the Seven Dwarfs	Snow White and the Seven Dwarfs	1937	83	1930s	USA	David Hand/ William Cottrell/ Wilfred Jackson/ Larry Morey/ Percival C. Pearce/ Ben Sharpsteen	male/ male/ male/ male/ male/ male	Merrill De Maris/ Ted Sears/ Richard Creedon/ Otto Englander/ Dick Rickard/ Dorothy Ann Blank/ Webb Smith/ Earl Hurd	male/ male/ male/ male/ male/ female/ male/ male			Walt Disney	male	Animation/ Adventure/ Family	Q134430	tt0029583
Olympia	Olympia	1938	226	1930s	DEU	Leni Riefenstahl	female	Leni Riefenstahl	female	Paul Holzki/ Wilfried Basse/ Hans Ertl/ Walter Frentz/ Hans Karl Gottschalk/ Richard Groschopp/ Willy Hameister/ Walter Hege/ Albert Höcht/ Carl Junghans/ Sepp Ketterer/ Gustav Lantschner/ Otto Lantschner/ Kurt Neubert/ Erich Nitzschmann/ Albert Oskar Schattmann/ Ernst Sorge/ Károly Vass/ Willy Zielke/ Andor von Barsy/ Heinz von Jaworsky/ Hugo von Kaweczynski/ Alexander von Lagorio	male/ male/ male/ male/ male/ male/ male/ male/ male/ male/ male/ male/ male/ male/ male/ male/ male/ male/ male/ male/ male/ male/ male	Leni Riefenstahl	female	Documentary/ Sport	Q158069	
Bringing Up Baby	Bringing Up Baby	1938	102	1930s	USA	Howard Hawks	male	Dudley Nichols/ Hagar Wilde	male/ female	Russell Metty	male	Howard Hawks/ Cliff Reid	male/ male	Comedy	Q179743	tt0029947
Gone with the Wind	Gone with the Wind	1939	238	1930s	USA	Victor Fleming/ George Cukor/ Sam Wood	male/ male/ male	Sidney Howard/ Ben Hecht/ Jo Swerling/ John Van Druten/ Margaret Mitchell	male/ male/ male/ male/ female	Ernest Haller/ Lee Garmes	male/ male	David O. Selznick	male	Drama/ History/ Romance	Q2875	tt0031381
Stagecoach	Stagecoach	1939	97	1930s	USA	John Ford	male	Dudley Nichols/ Ben Hecht/ Ernest Haycox	male/ male/ male	Bert Glennon	male	Walter Wanger	male	Adventure/ Drama/ Western	Q50714	tt0031971
Ninotchka	Ninotchka	1939	110	1930s	USA	Ernst Lubitsch	male	Billy Wilder/ Walter Reisch/ Charles Brackett/ Melchior Lengyel	male/ male/ male/ male	William H. Daniels	male	Ernst Lubitsch/ Sidney Franklin	male/ male	Comedy/ Romance	Q589894	tt0031725
Wizard of Oz	The Wizard of Oz	1939	98	1930s	USA	Victor Fleming/ George Cukor/ Mervyn LeRoy/ Norman Taurog/ King Vidor	male/ male/ male/ male/ male	Noel Langley/ Florence Ryerson/ Edgar Allan Woolf	male/ female/ male	Harold Rosson	male	Mervyn LeRoy	male	Adventure/ Family/ Fantasy	Q193695	tt0032138
The Rules of the Game	La Règle du jeu	1939	110	1930s	FRA	Jean Renoir	male	Jean Renoir/ Carl Koch	male/ male	Jean Bachelet	male	Claude Renoir	male	Comedy/ Drama	Q748599	tt0031885
The Story of the Last Chrysanthemum	Zangiku monogatari	1939	142	1930s	JPN	Kenji Mizoguchi	male	Shōfu Muramatsu/ Yoshikata Yoda	male/ male	Minoru Miki	male			Drama/ Romance	Q2339899	tt0032156
