English Title	Original Title	Year	Duration(min)	Decade	Country	Director	Director's Gender	Writer	Writer's Gender	DP	DP's Gender	Producer	Producer's Gender	Genre	Wikidata ID	IMDb ID
The Travelling Players 	O Thiassos	1975	230	1970s	GRC	Thodoros Angelopoulos	male	Thodoros Angelopoulos/ Petros Markaris	male/ male	Giorgos Arvanitis	male			Drama/ History/ Music	Q2162663	tt0073800
Lost, Lost, Lost		1975	178	1970s	USA	Jonas Mekas	male							Documentary		tt0209110
Seven Beauties	Pasqualino Settebellezze	1975	115	1970s	ITA	Lina Wertmüller	female	Lina Wertmüller	female	Tonino Delli Colli	male	Lina Wertmüller	female	Comedy/ Drama/ War	Q1634805	tt0075040
All the President’s Men	"All the President’s Men
"	1976	138	1970s	USA	Alan J. Pakula	male	William Goldman	male	Gordon Willis	male	Walter Coblenz	male	Drama/ History/ Thriller	Q466781	tt0074119
In the Realm of the Senses	Ai no korīda	1976	105	1970s	FRA/ JPN	Nagisa Ōshima	male	Nagisa Ōshima	male			Anatole Dauman	male	Drama/ Romance	Q510181	tt0074102
Jonah Who Will Be 25 in the Year 2000	Jonas qui aura 25 ans en l'an 2000	1976	110	1970s	CHE/ FRA	Alain Tanner	male	John Berger	male	Renato Berta	male			Drama	Q670633	tt0074718
Nashville	Nashville	1975	159	1970s	USA	Robert Altman	male	Joan Tewkesbury	female	Paul Lohmann	male	Robert Altman	male	Comedy/ Drama/ Music	Q1424258	tt0073440
Invisible Adversaries	Unsichtbare Gegner	1978	109	1970s	AUT	Valie Export	female	Valie Export	female			Valie Export	female	Drama	Q3414263	tt0076204
Kings of the Road 	Im Lauf der Zeit	1976	168	1970s	DEU	Wim Wenders	male	Wim Wenders	male	Robby Müller	male	Wim Wenders	male	Drama	Q706444	tt0073152
Killer of Sheep	Killer of Sheep	1977	83	1970s	USA	Charles Burnett	male	Charles Burnett	male	Charles Burnett	male	Charles Burnett	male	Drama	Q1752684	tt0076263
Man of Marble 	Człowiek z marmuru	1977	157	1970s	POL	Andrzej Wajda	male	Aleksander Ścibor-Rylski	male	Edward Kłosiński	male			Drama	Q1195506	tt0075902
Saturday Night Fever	Saturday Night Fever	1977	118	1970s	USA	John Badham	male	Norman Wexler/ Nik Cohn	male/ male	Ralf D. Bode	male	Robert Stigwood	male	Drama/ Music	Q47654	tt0076666
Annie Hall	Annie Hall	1977	93	1970s	USA	Woody Allen	male	Woody Allen/ Marshall Brickman	male/ male	Gordon Willis	male	Charles H. Joffe/ Jack Rollins	male/ male	Comedy/ Romance	Q233464	tt0075686
Ceddo		1977	120	1970s	FRA	Ousmane Sembène	male	Ousmane Sembène	male					Drama	Q5057031	tt0077309
Perfumed Nightmare		1977	93	1970s	PHL	Kidlat Tahimik	male	Kidlat Tahimik	male					Comedy/ Drama	Q25106516	tt0076341
Colloque de chiens	Colloque de chiens	1977	22	1970s	FRA	Raúl Ruiz	male	Nicole Muchnik/ Raúl Ruiz	female/ male					Short	Q2983534	tt0075863
Star Wars	Star Wars	1977	121	1970s	USA	George Lucas	male	George Lucas	male	Gilbert Taylor	male	Gary Kurtz/ Rick McCallum/ George Lucas	male/ male/ male	Action/ Adventure/ Fantasy	Q17738	tt0076759
Riddles of the Sphinx	Riddles of the Sphinx	1977	92	1970s	GBR	Laura Mulvey/ Peter Wollen	female/ male	Laura Mulvey/ Peter Wollen	female/ male					Drama	Q17426184	tt0076625
Madame X. Eine Absolute Herrscherin		1978	147	1970s	DEU	Ulrike Ottinger	female	Ulrike Ottinger	female					Fantasy	Q106717082	tt0076349
The Marriage of Maria Braun	Die Ehe der Maria Braun	1979	115	1970s	DEU	Rainer Werner Fassbinder	male	Rainer Werner Fassbinder/ Kurt Raab/ Peter Märthesheimer/ Pea Fröhlich	male/ male/ male/ female	Michael Ballhaus	male	Michael Fengler	male	Drama	Q699490	tt0079095
The All-Around Reduced Personality: Outtakes	Die allseitig reduzierte Persönlichkeit – Redupers	1978	98	1970s	DEU	Helke Sander	female	Helke Sander	female					Drama	Q22690567	tt0077150
Alexandria… Why?	Iskanderija... lih?	1979	133	1970s	EGY	Youssef Chahine	male	Youssef Chahine	male	Mohsen Nasr	male	Youssef Chahine	male	Drama	Q2060541	tt0077751
Ich denke oft an Hawaii		1978	84	1970s	DEU	Elfi Mikesch	female	Elfi Mikesch	female					Documentary	Q106717083	tt0163001
One Way Boogie Woogie		1978	60	1970s	USA	James Benning	male							Documentary		tt0206988
The Shining	The Shining	1980	144	1980s	GBR/ USA	Stanley Kubrick	male	Diane Johnson/ Stanley Kubrick/ Stephen King	female/ male/ male	John Alcott	male	Stanley Kubrick	male	Drama/ Horror	Q186341	tt0081505
Alien	Alien	1979	117	1970s	GBR/ USA	Ridley Scott	male	Dan O'Bannon/ Ronald Shusett	male/ male	Derek Vanlint	male	David Giler/ Walter Hill/ Gordon Carroll	male/ male/ male	Horror/ Sci-Fi	Q103569	tt0078748
Apocalypse Now	Apocalypse Now	1979	153	1970s	USA	Francis Ford Coppola	male	Francis Ford Coppola/ Michael Herr/ John Milius	male/ male/ male	Vittorio Storaro	male	Francis Ford Coppola	male	Drama/ Mystery/ War	Q182692	tt0078788
Camera Buff	Amator	1979	109	1970s	POL	Krzysztof Kieślowski	male	Krzysztof Kieślowski/ Jerzy Stuhr	male/ male	Jacek Petrycki	male			Comedy/ Drama/ Romance	Q2417978	tt0078763
All That Jazz	All That Jazz	1979	123	1970s	USA	Bob Fosse	male	Bob Fosse/ Robert Alan Aurthur	male/ male	Giuseppe Rotunno	male	Daniel Melnick/ Robert Alan Aurthur/ Kenneth Utt	male/ male/ male	Drama/ Music/ Musical	Q1353441	tt0078754
Stalker	Stalker	1979	163	1970s	SUN	Andrei Tarkovsky	male	Andrei Tarkovsky/ Arkady Strugatsky/ Boris Strugatsky	male/ male/ male	Alexander Knyazhinsky/ Leonid Kalashnikov/ Georgy Rerberg	male/ male/ male			Drama/ Sci-Fi	Q200437	tt0079944
Berlin Alexanderplatz	Berlin Alexanderplatz	1980	931		DEU	Rainer Werner Fassbinder	male	Rainer Werner Fassbinder	male	Xaver Schwarzenberger	male	Peter Märthesheimer	male	Crime/ Drama	Q705694	tt0080196
Marianne and Juliane	Die bleierne Zeit	1981	106	1980s	DEU	Margarethe von Trotta	female	Margarethe von Trotta	female	Franz Rath	male	Eberhard Junkersdorf	male	Drama	Q703966	tt0082081
Raiders of the Lost Ark	Raiders of the Lost Ark	1981	115	1980s	USA	Steven Spielberg	male	Lawrence Kasdan/ George Lucas/ Philip Kaufman	male/ male/ male	Douglas Slocombe	male	George Lucas/ Frank Marshall/ Howard Kazanjian	male/ male/ male	Action/ Adventure	Q174284	tt0082971
Fanny and Alexander	Fanny och Alexander	1982	188	1980s	FRA/ DEU/ SWE	Ingmar Bergman	male	Ingmar Bergman	male	Sven Nykvist	male	Jörn Donner	male	Drama	Q165651	tt0083922
First Blood	First Blood	1982	93	1980s	USA	Ted Kotcheff	male	Sylvester Stallone/ David Kozoll/ William Sackheim/ David Morrell	male/ male/ male/ male	Andrew Laszlo	male	Mario Kassar/ Andrew G. Vajna	male/ male	Action/ Adventure/ Thriller	Q244963	tt0083944
Diva	Diva	1981	123	1980s	FRA	Jean-Jacques Beineix	male	Jean Van Hamme/ Jean-Jacques Beineix/ Daniel Odier	male/ male/ male	Philippe Rousselot	male	Claudie Ossard/ Serge Silberman	female/ male	Comedy/ Crime/ Music	Q735383	tt0082269
Blade Runner	Blade Runner	1982	112	1980s	HKG/ USA	Ridley Scott	male	Hampton Fancher/ David Peoples	male/ male	Jordan Cronenweth	male	Michael Deeley/ Bud Yorkin/ Jerry Perenchio/ Ivor Powell	male/ male/ male/ male	Action/ Drama/ Sci-Fi	Q184843	tt0083658
Sans Soleil	Sans soleil	1982	100	1980s	FRA	Chris Marker	male	Chris Marker	male			Chris Marker	male	Documentary/ Drama	Q290796	tt0084628
Yol	Yol	1982	114	1980s	TUR	Yılmaz Güney/ Şerif Gören	male/ male	Yılmaz Güney	male			Yılmaz Güney	male	Drama	Q683020	tt0084934
Passion	Passion	1982	87	1980s	CHE/ FRA	Jean-Luc Godard	male	Jean-Luc Godard/ Jean-Claude Carrière	male/ male	Raoul Coutard	male	Alain Sarde	male	Comedy/ Drama	Q672061	tt0084481
Reassemblage	Reassemblage	1982	40	1980s	USA	Trinh T. Minh-ha	female							Documentary	Q30605441	tt0084577
Videodrome	Videodrome	1983	89	1980s	CAN/ USA	David Cronenberg	male	David Cronenberg	male	Mark Irwin	male	Pierre David	male	Horror/ Sci-Fi/ Thriller	Q747551	tt0086541
The Ballad of Narayama	Narayama bushikō	1983	130	1980s	JPN	Shohei Imamura	male	Shohei Imamura/ Shichirō Fukazawa	male/ male					Drama	Q1140513	tt0084390
Born in Flames	Born in Flames	1983	80	1980s	USA	Lizzie Borden	female	Lizzie Borden	female			Lizzie Borden	female	Comedy/ Drama/ Sci-Fi	Q893926	tt0085267
Stranger Than Paradise	Stranger Than Paradise	1984	89	1980s	DEU/ USA	Jim Jarmusch	male	Jim Jarmusch	male	Tom DiCillo	male	Sara Driver	female	Comedy/ Drama	Q1345409	tt0088184
The Terminator	The Terminator	1984	108	1980s	GBR/ USA	James Cameron	male	James Cameron/ Gale Anne Hurd/ William Wisher	male/ female/ male	Adam Greenberg	male	Gale Anne Hurd	female	Action/ Sci-Fi	Q162255	tt0088247
Yeleen	Yeelen	1987	105	1980s	DEU/ FRA/ MLI	Souleymane Cissé	male	Souleymane Cissé	male			Souleymane Cissé	male	Drama/ Fantasy	Q2335016	tt0094349
Heimat	Heimat – Eine deutsche Chronik	1984	924	1980s	DEU	Edgar Reitz	male	Edgar Reitz/ Peter Steinbach	male/ male	Gernot Roll	male	Edgar Reitz	male	Drama/ History/ War	Q3249691	tt0087400
Yellow Earth	Huáng tǔdì	1984	89	1980s	CHN	Chen Kaige	male	Chen Kaige	male	Zhang Yimou	male			Drama/ History/ Music	Q975564	tt0087433
Shoah	Shoah	1985	540	1980s	FRA/ GBR	Claude Lanzmann	male	Claude Lanzmann	male	William Lubtchansky	male	Claude Lanzmann	male	Documentary/ History/ War	Q1720765	tt0090015
The Horse Thief	Dao ma zei	1985	88	1980s	CHN	Tian Zhuangzhuang	male	Zhang Rui	female	Hou Yong/ Zhao Fei	male/ male	Wu Tianming	male	Drama	Q2456917	tt0090907
My Beautiful Laundrette	My Beautiful Laundrette	1985	93	1980s	GBR	Stephen Frears	male	Hanif Kureishi	male	Oliver Stapleton	male	Tim Bevan/ Sarah Radclyffe	male/ female	Comedy/ Drama/ Romance	Q735314	tt0091578
The Purple Rose of Cairo	The Purple Rose of Cairo	1985	82	1980s	USA	Woody Allen	male	Woody Allen	male	Gordon Willis	male	Robert Greenhut	male	Comedy/ Fantasy/ Romance	Q912729	tt0089853
Alpine Fire	Höhenfeuer	1985	114	1980s	CHE	Fredi M. Murer	male	Fredi M. Murer	male	Pio Corradi	male			Drama	Q1569996	tt0093235
The Time to Live and a Time to Die	Tóng nián wǎng shì	1985	138	1980s	TWN	Hou Hsiao-Hsien	male	Chu Tien-wen/ Hou Hsiao-Hsien	female/ male	Mark Lee Ping Bin	male			Biography/ Drama	Q697070	tt0090185
Peking Opera Blues	Do ma daan	1986	104	1980s	HKG	Tsui Hark	male	Raymond To	male			Tsui Hark	male	Comedy/ Action	Q3374423	tt0090952
Blue Velvet	Blue Velvet	1986	121	1980s	USA	David Lynch	male	David Lynch	male	Frederick Elmes	male	Fred C. Caruso/ Dino De Laurentiis/ Richard Roth	male/ male/ male	Crime/ Drama/ Mystery	Q660950	tt0090756
The Peddler	Dastforoush	1986	95	1980s	IRN	Mohsen Makhmalbaf	male	Mohsen Makhmalbaf	male					Drama	Q5760086	tt0092833
A Better Tomorrow	Yīngxióng Běnsè	1986	95	1980s	HKG	John Woo	male	John Woo/ Chan Hing-ka	male/ male			Tsui Hark	male	Action/ Crime/ Drama	Q641346	tt0092263
Bashu, the Little Stranger	Bashú, gharibeh kuchak	1986	120	1980s	IRN	Bahram Bayzai	male	Bahram Bayzai	male	Firooz Malekzadeh	male			Drama/ War	Q2886770	tt0096894
Top Gun	Top Gun	1986	110	1980s	USA	Tony Scott	male	Jim Cash/ Jack Epps, Jr.	male/ male	Jeffrey L. Kimball	male	Don Simpson/ Jerry Bruckheimer	male/ male	Action/ Drama	Q110138	tt0092099
Handsworth Songs	Handsworth Songs	1986	61	1980s	GBR	John Akomfrah	male							Documentary	Q18924399	tt0251113
Wedding in Gallilee		1987	113	1980s	BEL/ FRA	Michel Khleifi	male	Michel Khleifi	male					Drama	Q3342585	tt0094229
Where Is the Friend s Home?	Khane-ye dust kojast	1987	83	1980s	IRN	Abbas Kiarostami	male	Abbas Kiarostami	male	Farhad Saba	male			Drama/ Family	Q2308266	tt0093342
A Chinese Ghost Story	Ch'ien-nü Yu-hun	1987	92	1980s	HKG	Ching Siu-tung	male	Yuen Kai Chi	male			Tsui Hark	male	Action/ Fantasy/ Horror	Q300356	tt0093978
Family Viewing	Family Viewing	1987	86	1980s	CAN	Atom Egoyan	male	Atom Egoyan	male	Robert MacDonald/ Peter Mettler	male/ male			Drama	Q4415155	tt0093006
Images of the World and the Inscription of War	Bilder der Welt und Inschrift des Krieges	1988	75	1980s	DEU	Harun Farocki	male	Harun Farocki	male					Documentary/ War	Q106717441	tt0094745
Time of the Gypsies	Dom za vešanje	1988	135	1980s	GBR/ ITA/ YUG	Emir Kusturica	male	Emir Kusturica/ Gordan Mihić	male/ male	Vilko Filac	male	Harry Saltzman	male	Comedy/ Crime/ Drama	Q615979	tt0097223
"Histoire(s) du cinéma
"	Histoire(s) du cinéma	1988	267	1990s	CHE/ FRA	Jean-Luc Godard	male	Jean-Luc Godard	male					Documentary	Q2533567	tt6677224
The Thin Blue Line	The Thin Blue Line	1988	103	1980s	USA	Errol Morris	male	Errol Morris	male	Robert Chappell	male			Documentary/ Crime	Q162997	tt0096257
Salaam Bombay!	"Salaam Bombay!
"	1988	113	1980s	FRA/ GBR/ IND	Mira Nair	female	Mira Nair	female			Mira Nair	female	Crime/ Drama	Q1637390	tt0096028
Roger & Me	Roger & Me	1989	91	1980s	USA	Michael Moore	male	Michael Moore	male	Kevin Rafferty	male	Wendey Stanzler	female	Documentary	Q1569662	tt0098213
Sex, Lies, and Videotape	Sex, Lies, and Videotape	1989	101	1980s	USA	Steven Soderbergh	male	Steven Soderbergh	male	Walt Lloyd	male	Robert Newmyer	male	Drama	Q1367548	tt0098724
Looking for Langston	Looking for Langston	1989	45	1980s	GBR/ USA	Isaac Julien	male	Isaac Julien	male					Biography/ Drama	Q6675384	tt0095545
Tongues Untied	Tongues Untied	1989	55	1980s	USA	Marlon Riggs	male	Joseph Beam/ Chris Harris/ Essex Hemphill	male/ male/ male			Marlon Riggs	male	Documentary	Q7821187	tt0103099
Do the Right Thing	Do the Right Thing	1989	120	1980s	USA	Spike Lee	male	Spike Lee	male	Ernest Dickerson	male	Spike Lee/ Monty Ross	male/ male	Comedy/ Drama	Q1141252	tt0097216
A City of Sadness	Bēiqíng chéngshì	1989	158	1980s	TWN	Hou Hsiao-Hsien	male	Chu Tien-wen	female	Chen Hwai-En	male	Chiu Fu-sheng	male	Drama/ History	Q133461	tt0096908
Virgin Machine	Die Jungfrauenmaschine	1989	84	1980s	DEU	Monika Treut	female	Monika Treut	female	Elfi Mikesch	female	Monika Treut/ Elfi Mikesch	female/ female	Drama/ Romance	Q64211902	tt0095417
Goodfellas	Goodfellas	1990	146	1990s	USA	Martin Scorsese	male	Nicholas Pileggi/ Martin Scorsese	male/ male	Michael Ballhaus	male	Irwin Winkler	male	Biography/ Crime/ Drama	Q42047	tt0099685
Close-Up	Klūzāp, nemā-ye nazdīk	1990	98	1990s	FRA/ IRN	Abbas Kiarostami	male	Abbas Kiarostami	male					Biography/ Crime/ Drama	Q498277	tt0100234
Home Stories	Home Stories	1990	6	1990s	DEU	Matthias Müller	male							Short	Q57168629	tt0099786
Song of the Exile	Ke tu qiu hen	1990	100	1990s	HKG	Ann Hui	female	Wu Nien-jen	male					Drama	Q548742	tt0099927
Paris Is Burning	Paris Is Burning	1990	71	1990s	USA	Jennie Livingston	female	Stephan Elliott	male			Jennie Livingston	female	Documentary	Q7137311	tt0100332
Thelma & Louise	Thelma & Louise	1991	129	1990s	USA	Ridley Scott	male	Callie Khouri	female	Adrian Biddle	male	Ridley Scott	male	Adventure/ Crime/ Drama	Q658041	tt0103074
"Videograms of a Revolution
"	Videograms of a Revolution	1991	106	1990s	DEU	Andrei Ujică/ Harun Farocki	male/ male	Andrei Ujică	male					Documentary/ History/ War	Q2523046	tt0108489
JFK	JFK	1991	189	1990s	USA	Oliver Stone	male	Jim Marrs/ Jim Garrison/ Oliver Stone	male/ male/ male	Robert Richardson	male	Oliver Stone/ Arnon Milchan/ A. Kitman Ho	male/ male/ male	Drama/ History/ Thriller	Q741823	tt0102138
A Brighter Summer Day	Gulingjie Shaonian Sharen Shijian	1991	237	1990s	TWN	Edward Yang	male	Edward Yang	male					Crime/ Drama/ Romance	Q710745	tt0101985
Raise the Red Lantern 	Dà hóng dēnglóng gāogāo guà	1991	125	1990s	CHN	Zhang Yimou	male	Ni Zhen	male	Zhao Fei	male	Hou Hsiao-Hsien	male	Drama/ History/ Romance	Q665146	tt0101640
Daughters of the Dust	Daughters of the Dust	1991	112	1990s	USA	Julie Dash	female	Julie Dash	female					Drama/ History/ Romance	Q3285003	tt0104057
Center Stage	Ruǎn Língyù	1992	126	1990s	HKG	Stanley Kwan	male	Peggy Chiao/ Kang Chien Chiu	female/ male			Willie Chan/ Tsui Siu-Ming	male/ male	Biography/ Drama/ Romance	Q2944359	tt0102816
Unforgiven	Unforgiven	1992	131	1990s	USA	Clint Eastwood	male	David Peoples	male	Jack N. Green	male	Clint Eastwood	male	Drama/ Western	Q104137	tt0105695
Orlando	Orlando	1992	94	1990s	FRA/ GBR/ ITA/ NLD/ RUS	Sally Potter	female	Sally Potter	female	Alexei Rodionov	male	Luigi Musini/ Christopher Sheppard	male/ male	Biography/ Drama/ Fantasy	Q188384	tt0107756
Living in Bondage	Living in Bondage	1992	163	1990s	NGA	Chris Obi Rapu	male	Kenneth Nnebue/ Okey Ogunjiofor	male/ male					Drama	Q3038304	tt0489511
Blue	Blue	1993	76	1990s	GBR	Derek Jarman	male	Derek Jarman	male			James Mackay	male	Biography/ Drama	Q885594	tt0106438
D'Est	D'Est	1993	107	1990s	FRA	Chantal Akerman	female	Chantal Akerman	female					Documentary	Q21427163	tt0106642
Chungking Express	Chungking Express	1994	102	1990s	HKG	Wong Kar-wai	male	Wong Kar-wai	male	Andrew Lau/ Christopher Doyle	male/ male			Comedy/ Crime/ Drama	Q766263	tt0109424
Pulp Fiction	Pulp Fiction	1994	154	1990s	USA	Quentin Tarantino	male	Quentin Tarantino/ Roger Avary	male/ male	Andrzej Sekuła	male	Lawrence Bender	male	Crime/ Drama	Q104123	tt0110912
Sátántangó	Sátántangó	1994	450	1990s	CHE/ DEU/ HUN	Béla Tarr	male	Béla Tarr/ László Krasznahorkai/ Mihály Víg/ Péter Dobai	male/ male/ male/ male	Gábor Medvigy	male	György Fehér/ Joachim von Vietinghoff/ Ruth Waldburger	male/ male/ female	Drama	Q53481	tt0111341
Hum Aapke Hain Koun..!	Hum Aapke Hain Koun..!	1994	206	1990s	IND	Sooraj R. Barjatya	male	Sooraj R. Barjatya	male	Rajan Kinagi	male			Comedy/ Drama/ Musical	Q1497594	tt0110076
The Silences of the Palace	ṣamt al-quṣūr	1994	127	1990s	FRA/ TUN	Moufida Tlatli	female	Moufida Tlatli	female			Ahmed Bahaeddine Attia	male	Drama	Q2746780	tt0111055
Dilwale Dulhania Le Jayenge	Dilwale Dulhania Le Jayenge	1995	245	1990s	IND	Aditya Chopra	male	Aditya Chopra/ Javed Siddiqui	male/ male	Manmohan Singh	male	Yash Chopra	male	Drama/ Romance	Q849343	tt0112870
Safe	Safe	1995	119	1990s	GBR/ USA	Todd Haynes	male	Todd Haynes	male	Alex Nepomniaschy	male	Christine Vachon	female	Drama	Q2731453	tt0114323
Chronicle of a Disappearance		1996	88	1990s	PSE	Elia Suleiman	male	Elia Suleiman	male			Elia Suleiman	male	Drama	Q2966751	tt0115895
Fire	Fire	1996	104	1990s	CAN/ IND	Deepa Mehta	female	Deepa Mehta	female	Giles Nuttgens	male	Deepa Mehta	female	Drama/ Romance	Q1418833	tt0116308
The Watermelon Woman	The Watermelon Woman	1996	90	1990s	USA	Cheryl Dunye	female	Cheryl Dunye	female			Alexandra Juhasz	female	Comedy/ Drama/ Romance	Q2065014	tt0118125
Mother and Son	Mat i syn	1997	73	1990s	DEU/ RUS	Alexander Sokurov	male	Yuriy Arabov	male	Aleksey Fyodorov	male			Drama	Q2290357	tt0119711
Exil Shanghai	Exil Shanghai	1997	275	1990s	DEU	Ulrike Ottinger	female	Ulrike Ottinger	female	Ulrike Ottinger/ Joseph Zicherman	female/ male			Documentary	Q22998507	tt0119089
The Big Lebowski	The Big Lebowski	1998	117	1990s	GBR/ USA	Joel Coen/ Ethan Coen	male/ male	Joel Coen/ Ethan Coen	male/ male	Roger Deakins	male	Tim Bevan/ Eric Fellner/ Joel Coen/ Ethan Coen	male/ male/ male/ male	Comedy/ Crime	Q337078	tt0118715
From the Heart	Dil Se..	1998	163	1990s	IND	Mani Ratnam	male	Mani Ratnam	male	Santosh Sivan	male	Mani Ratnam/ Ram Gopal Varma/ Shekhar Kapur/ Bharat Shah	male/ male	Drama/ Romance	Q944356	tt0164538
The Thin Red Line	The Thin Red Line	1998	166	1990s	USA	Terrence Malick	male	Terrence Malick/ James Jones	male/ male	John Toll	male	Grant Hill		Drama/ History/ War	Q221491	tt0120863
Beau Travail	Beau Travail	1999	92	1990s	FRA	Claire Denis	female	Claire Denis/ Jean-Pol Fargeau	female/ male	Agnès Godard	female	Patrick Grandperret	male	Drama/ War	Q1193562	tt0209933
Rosetta	Rosetta	1999	93	1990s	BEL/ FRA	Jean-Pierre Dardenne/  Luc Dardenne	male/ male	Jean-Pierre Dardenne/  Luc Dardenne	male/ male	Alain Marcoen	male	Jean-Pierre Dardenne/ Laurent Pétin/ Michèle Pétin/ Arlette Zylberberg/ Luc Dardenne	male/ female/ female	Drama	Q1907380	tt0200071
Romance	Romance	1999	99	1990s	FRA	Catherine Breillat	female	Catherine Breillat	female	Giorgos Arvanitis	male	Jean-François Lepetit		Drama/ Romance	Q1752790	tt0194314
"Boys Don't Cry
"	Boys Don't Cry	1999	118	1990s	USA	Kimberly Peirce	female	Kimberly Peirce/ Andy Bienen	female/ male	Jim Denault	male	Christine Vachon/ Eva Kolodner/ John Hart/ Jeffrey Sharp	female/ male	Biography/ Crime/ Drama	Q465646	tt0171804
In the Mood For Love	huāyàng niánhuá	2000	98	2000s	FRA/ HKG/ THA	Wong Kar-wai	male	Wong Kar-wai	male	Christopher Doyle/ Kwan Pun Leung/ Mark Lee Ping Bin	male/ male/ male	Wong Kar-wai	male	Drama/ Romance	Q1056853	tt0118694
The Circle	Dayereh	2000	88	2000s	CHE/ IRN/ ITA	Jafar Panahi	male	Kambuzia Partovi/ Jafar Panahi	male/ male	Bahram Badakshani	male	Jafar Panahi	male	Drama	Q1194947	tt0255094
Crouching Tiger, Hidden Dragon	Wò hǔ cáng lóng	2003	115	2000s	CHN/ HKG/ TWN/ USA	Ang Lee	male	James Schamus/ Wang Hui-ling/ Kuo Jung Tsai	male/ female/ male	Peter Pau	male	Hsu Li Kong/ William Kong/ Ang Lee	male	Action/ Adventure/ Drama	Q273978	tt0190332
What Time Is it There?	Nǐ nà biān jǐ diǎn	2001	116	2000s	FRA/ TWN	Tsai Ming-liang	male	Tsai Ming-liang	male	Benoît Delhomme	male			Drama/ Romance	Q1634327	tt0269746
Infernal Affairs	Wújiàndào	2002	97	2000s	HKG	Andrew Lau/ Alan Mak	male/ male	Alan Mak/ Felix Chong	male/ male	Andrew Lau/ Lai Yiu-fai	male/ male	Andrew Lau		Action/ Crime/ Drama	Q714057	tt0338564
Distant	Uzak	2002	109	2000s	TUR	Nuri Bilge Ceylan	male	Nuri Bilge Ceylan/ Cemil Kavukçu	male/ male	Nuri Bilge Ceylan	male	Nuri Bilge Ceylan	male	Drama	Q1361018	tt0346094
Spring, Summer, Winter...and Spring	Bom yeoreum gaeul gyeoul geurigo bom	2003	103	2000s	DEU/ KOR	Kim Ki-duk	male	Kim Ki-duk	male	Baek Dong-hyeon	male	Karl Baumgartner/ Lee Seung-jae		Drama/ Romance	Q494871	tt0374546
Tropical Malady	Satpralat	2004	118	2000s	DEU/ FRA/ ITA/ THA	Apichatpong Weerasethakul	male	Apichatpong Weerasethakul	male					Drama/ Fantasy/ Romance	Q594131	tt0381668
Waiting for the Clouds	Bulutlari beklerken	2004	94	2000s	DEU/ FRA/ TUR	Yeşim Ustaoğlu	female	Yeşim Ustaoğlu/ Petros Markaris	female/ male			Mehmet Aktaş	male	Drama	Q2540799	tt0418309
Marseille	Marseille	2004	95	2000s	DEU	Angela Schanelec	female	Angela Schanelec	female	Reinhold Vorschneider	male	Florian Koerner von Gustorf	male	Drama	Q3294998	tt0360779
Caché	Caché	2005	117	2000s	AUT/ DEU/ FRA/ ITA	Michael Haneke	male	Michael Haneke	male	Christian Berger	male	Veit Heiduschka/ Margaret Ménégoz	male/ female	Drama/ Mystery/ Thriller	Q383173	tt0387898
Grizzly Man	Grizzly Man	2005	103	2000s	USA	Werner Herzog	male	Werner Herzog	male	Peter Zeitlinger	male	Billy Campbell/ Tom Ortenberg		Documentary/ Biography	Q1067409	tt0427312
Still Life	"Sānxiá hǎorén
"	2006	111	2000s	CHN/ HKG	Jia Zhangke	male	Jia Zhangke	male	Yu Lik-wai	male	Zhu Jiong		Drama	Q1371155	tt0859765
Forever	Forever	2006	95	2000s	NLD	Heddy Honigmann	female	Heddy Honigmann	female					Documentary	Q13636884	tt0906743
Om Shanti Om 	Om Shanti Om	2007	169	2000s	IND	Farah Khan	female	Farah Khan	female	V. Manikandan	male	Gauri Khan/ Shah Rukh Khan	female/ male	Action/ Comedy/ Drama	Q330468	tt1024943
Waltz with Bashir	Vals Im Bashir	2008	87	2000s	DEU/ FRA/ GBR/ ISR	Ari Folman	male	Ari Folman	male	Declan Quinn	male	Ari Folman	male	Documentary/ Animation/ Biography	Q160793	tt1185616
Z32	Z32	2008	81	2000s	FRA/ ISR	Avi Mograbi	male	Noam Enbar/ Avi Mograbi	male/ male					Documentary	Q3574331	tt1270707
Antichrist	Antichrist	2009	104	2000s	DEU/ DNK/ FRA/ ITA/ POL/ SWE	Lars von Trier	male	Lars von Trier	male	Anthony Dod Mantle	male	Meta Louise Foldager	female	Drama/ Horror/ Thriller	Q574998	tt0870984
The Hurt Locker	The Hurt Locker	2009	131	2000s	USA	Kathryn Bigelow	female	Mark Boal	male	Barry Ackroyd	male	Kathryn Bigelow/ Mark Boal/ Nicolas Chartier	female/ male/ male	Drama/ Thriller/ War	Q183066	tt0887912
Police, Adjective	Polițist	2009	115	2000s	ROU	Corneliu Porumboiu	male	Corneliu Porumboiu	male					Crime/ Drama	Q2913585	tt1337051
Tomboy	Tomboy	2011	82	2010s	FRA	Céline Sciamma	female	Céline Sciamma	female	Crystel Fournier	female	Bénédicte Couvreur	male	Drama	Q926083	tt1847731
Citizenfour	Citizenfour	2014	114	2010s	DEU/ GBR/ USA	Laura Poitras	female	Laura Poitras	female	Kirsten Johnson/ Trevor Paglen/ Laura Poitras/ Katy Scoggin	female/ male/ female/ female	Mathilde Bonnefoy/ Kirsten Johnson/ Laura Poitras/ Katy Scoggin/ Dirk Wilutzky	female/ female/ female/ female/ male	Documentary/ Biography/ History	Q18218448	tt4044364
